PLAYER,Team,TI,Runs,I. Runs,B. Impact,Bowl,I. Wkts,Bo. Impact
Ruturaj Gaikwad,CSK,140.19,92(50),114.2,140.19,-,-,0
Rajvardhan Hangargekar,CSK,90.44,-,-,0,3/36,4.58,90.44
Shubman Gill,GT,89.1,63(36),76.67,89.1,-,-,0
Rashid Khan,GT,83.35,10(3),15.98,22.91,2/26,2.44,60.44
Mohammed Shami,GT,65.21,-,-,0,2/29,2.75,65.21
Alzarri Joseph,GT,60.37,-,-,0,2/33,2.79,60.37
Ravindra Jadeja,CSK,41.37,1(2),- 1.27,- 3.59,1/28,1.59,44.97
Wriddhiman Saha,GT,33.33,25(16),28.99,33.33,-,-,0
Moeen Ali,CSK,26.33,23(17),24.09,26.33,-,-,0
Josh Little,GT,26.13,-,-,0,1/41,1.4,26.13
Deepak Chahar,CSK,20.36,-,-,0,0/29,-,20.36
Arshdeep Singh,PBKS,78.77,-,-,0,3/19,3.94,78.77
Bhanuka Rajapaksa,PBKS,55.11,50(32),54.21,55.11,-,-,0
Varun Chakravarthy,KKR,54.79,-,-,0,1/26,1.52,54.79
Andre Russell,KKR,52.78,35(19),44.52,52.78,-,-,0
Sunil Narine,KKR,43.52,7(2),11.27,16.11,1/40,1.29,27.41
Prabhsimran Singh,PBKS,37.36,23(12),29.43,37.36,-,-,0
Umesh Yadav,KKR,36.86,-,-,0,1/27,0.93,36.86
Sikandar Raza,PBKS,34.04,16(13),10.96,5.25,1/25,1.48,28.8
Rahul Chahar,PBKS,33.89,-,-,0,1/12,1.47,33.89
Shikhar Dhawan,PBKS,32.22,40(29),38.79,32.22,-,-,0
Sam Curran,PBKS,30.31,26(17),22.25,17.43,1/38,1.43,12.89
Kyle Mayers,LSG,130.33,73(38),98.75,126.75,0/7,-,3.57
Mark Wood,LSG,93.57,-,-,0,5/14,4.81,93.57
Khaleel Ahmed,DC,58.36,-,-,0,2/30,2.51,58.36
Nicholas Pooran,LSG,46.58,36(21),39.51,46.58,-,-,0
Rilee Rossouw,DC,39.15,30(20),35.95,39.15,-,-,0
David Warner,DC,36.94,56(48),51.3,36.94,-,-,0
Ayush Badoni,LSG,30.13,18(7),22.87,30.13,-,-,0
Axar Patel,DC,28.79,16(11),16,11.66,1/38,1.08,17.12
Chetan Sakariya,DC,25.2,4(4),4,2.56,2/53,2.4,22.64
Kuldeep Yadav,DC,24.75,6(10),6,2.8,1/35,1.08,21.95
Krishnappa Gowtham,LSG,24.74,6(1),9.44,14,0/23,-,10.73
Jos Buttler,RR,88.23,54(22),69.67,88.23,-,-,0
Yashasvi Jaiswal,RR,64.79,54(37),63.1,64.79,-,-,0
Sanju Samson,RR,57.09,55(32),58.9,57.09,-,-,0
Trent Boult,RR,49.48,-,-,0,2/21,2.49,49.48
Fazalhaq Farooqi,SRH,43.63,-,-,0,2/41,2.75,43.63
Umran Malik,SRH,40.01,19(8),19,18.34,1/32,1.58,21.67
T Natarajan,SRH,39.92,-,-,0,2/23,1.87,39.92
Yuzvendra Chahal,RR,28.89,-,-,0,4/17,1.96,28.89
Mayank Agarwal,SRH,20.87,27(23),28.74,20.87,-,-,0
Adil Rashid,SRH,18.84,18(13),18,12.63,0/33,-,6.21
Abdul Samad,SRH,18.28,32(32),32,18.28,-,-,0
Tilak Varma,MI,118.31,84(46),102.02,118.31,-,-,0
Faf du Plessis,RCB,94.13,73(43),85.85,94.13,-,-,0
Virat Kohli,RCB,72.8,82(49),81.19,72.8,-,-,0
Mohammed Siraj,RCB,60.82,-,-,0,1/21,1.37,60.82
Karn Sharma,RCB,55.74,-,-,0,2/32,2.63,55.74
Reece Topley,RCB,38.16,-,-,0,1/14,1.65,38.16
Nehal Wadhera,MI,27.66,21(13),24.28,27.66,-,-,0
Michael Bracewell,RCB,25.79,-,-,0,1/16,1.22,25.79
Piyush Chawla,MI,23.46,-,-,0,0/26,-,23.46
Arshad Khan,MI,22.56,15(9),15.06,14.44,1/28,0.59,8.12
Akash Deep,RCB,18.36,-,-,0,1/29,0.98,18.36
Moeen Ali,CSK,123.3,19(13),16.58,12.38,4/26,5.44,110.93
Kyle Mayers,LSG,105.2,53(22),73.87,97.53,0/16,-,7.67
Ravi Bishnoi,LSG,101.91,-,-,0,3/28,4.21,101.91
Ruturaj Gaikwad,CSK,72.32,57(31),66.61,72.32,-,-,0
